George Ignatieff Theatre,?id=1809&cId=48656&mId=494577
Gerald Larkin Building,?id=1809&cId=48656&mId=494575
John W. Graham Library,?id=1809&cId=48656&mId=506347
St. Hilda's College,?id=1809&cId=48656&mId=494576
Trinity College,?id=1809&cId=48656&mId=494574
59 Queen's Park Crescent East,?id=1809&cId=48657&mId=494588
Brennan Hall,?id=1809&cId=48657&mId=494595
Canadian Catholic Bioethics Institute (CCBI),?id=1809&cId=48657&mId=504367
Carr Hall,?id=1809&cId=48657&mId=494580
Elmsley Hall,?id=1809&cId=48657&mId=494596
Fisher House,?id=1809&cId=48657&mId=494584
Founders House,?id=1809&cId=48657&mId=494585
Gilson House,?id=1809&cId=48657&mId=494589
John M. Kelly Library,?id=1809&cId=48657&mId=494579
Loretto College,?id=1809&cId=48657&mId=494597
Maritain House,?id=1809&cId=48657&mId=494587
McCorkell House,?id=1809&cId=48657&mId=494583
More House,?id=1809&cId=48657&mId=494586
Muzzo Family Alumni Hall,?id=1809&cId=48657&mId=494578
Odette (Louis) Hall,?id=1809&cId=48657&mId=494594
Phelan House,?id=1809&cId=48657&mId=494591
Sam Sorbara Hall Student Residence,?id=1809&cId=48657&mId=494590
St. Basil's Church,?id=1809&cId=48657&mId=494593
Sullivan House,?id=1809&cId=48657&mId=494582
Teefy Hall,?id=1809&cId=48657&mId=494581
Windle House,?id=1809&cId=48657&mId=494592
65 Charles Street West,?id=1809&cId=48658&mId=494611
Annesley Hall,?id=1809&cId=48658&mId=494609
Birge-Carnegie Library,?id=1809&cId=48658&mId=494604
Burwash Hall,?id=1809&cId=48658&mId=494607
Burwash Residence (Lower Houses),?id=1809&cId=48658&mId=494599
Burwash Residence (Upper Houses),?id=1809&cId=48658&mId=494603
E.J. Pratt Library,?id=1809&cId=48658&mId=494598
Emmanuel College,?id=1809&cId=48658&mId=494601
Goldring Student Centre,?id=1809&cId=48658&mId=494608
Isabel Bader Theatre,?id=1809&cId=48658&mId=494605
Lillian Massey Building,?id=1809&cId=48658&mId=494613
Margaret Addison Hall,?id=1809&cId=48658&mId=494612
Northrop Frye Hall,?id=1809&cId=48658&mId=494600
Rowell Jackman Hall,?id=1809&cId=48658&mId=494606
Stephenson House,?id=1809&cId=48658&mId=494610
Victoria College,?id=1809&cId=48658&mId=494602
43 Queen's Park Crescent East,?id=1809&cId=48655&mId=494571
Knox College,?id=1809&cId=48655&mId=494568
Massey College,?id=1809&cId=48655&mId=494573
Nona Macdonald Visitors Centre,?id=1809&cId=48655&mId=494567
Regis College,?id=1809&cId=48655&mId=494569
Toronto School of Theology,?id=1809&cId=48655&mId=494572
Wycliffe College,?id=1809&cId=48655&mId=494570
121 St. George Street,?id=1809&cId=48654&mId=494551
123 Edward Street,?id=1809&cId=48654&mId=494448
123 St. George Street,?id=1809&cId=48654&mId=494554
162 St. George Street,?id=1809&cId=48654&mId=494555
215 Huron Street,?id=1809&cId=48654&mId=494463
229 College Street,?id=1809&cId=48654&mId=494450
254/256 McCaul Street,?id=1809&cId=48654&mId=494454
263 McCaul Street,?id=1809&cId=48654&mId=494457
30 Charles St. West,?id=1809&cId=48654&mId=494565
35 Charles St. West,?id=1809&cId=48654&mId=494561
370 Huron Street,?id=1809&cId=48654&mId=494533
371 Bloor Street West,?id=1809&cId=48654&mId=494550
39 Queen's Park Crescent East,?id=1809&cId=48654&mId=494528
39A Queen's Park Crescent East,?id=1809&cId=48654&mId=494529
40 Sussex Avenue,?id=1809&cId=48654&mId=494535
439 University Avenue,?id=1809&cId=48654&mId=497526
45 St. George Street (Physical Geography Building),?id=1809&cId=48654&mId=494483
455 Spadina Avenue,?id=1809&cId=48654&mId=494452
665 Spadina Avenue,?id=1809&cId=48654&mId=494532
700 Bay,?id=1809&cId=48654&mId=628279
700 University,?id=1809&cId=48654&mId=497527
703 Spadina Avenue,?id=1809&cId=48654&mId=494542
713 Spadina Avenue (Demolished March 2019),?id=1809&cId=48654&mId=494545
720 Spadina Avenue,?id=1809&cId=48654&mId=494540
777 Bay,?id=1809&cId=48654&mId=628281
800 Bay,?id=1809&cId=48654&mId=628280
88 College Street,?id=1809&cId=48654&mId=494493
90 Wellesley Street West,?id=1809&cId=48654&mId=494525
Anthropology Building,?id=1809&cId=48654&mId=494472
Astronomy & Astrophysics Building,?id=1809&cId=48654&mId=494489
Back Campus Fields,?id=1809&cId=48654&mId=494523
Bahen Centre for Information Technology,?id=1809&cId=48654&mId=494470
Bancroft Building,?id=1809&cId=48654&mId=494497
Banting Institute,?id=1809&cId=48654&mId=494487
Best Institute (Demolished 2020/01),?id=1809&cId=48654&mId=494484
Borden Building North,?id=1809&cId=48654&mId=494485
Borden Building South,?id=1809&cId=48654&mId=494480
C. David Naylor Building,?id=1809&cId=48654&mId=494486
Canadiana Gallery,?id=1809&cId=48654&mId=494505
Central Steam Plant,?id=1809&cId=48654&mId=494477
Chelsea StuCoChestnut Residence and Conference Centre,?id=1809&cId=48654&mId=494446
Clara Benson Building,?id=1809&cId=48654&mId=494513
Claude T. Bissell Building,?id=1809&cId=48654&mId=494536
Communications House,?id=1809&cId=48654&mId=494458
Convocation Hall,?id=1809&cId=48654&mId=494494
Cumberland House,?id=1809&cId=48654&mId=494464
D.L. Pratt Building,?id=1809&cId=48654&mId=494469
Daniels Building,?id=1809&cId=48654&mId=494471
Dentistry Building,?id=1809&cId=48654&mId=494449
Dr. Eric Jackman Institute of Child Study,?id=1809&cId=48654&mId=494566
Early Learning Centre,?id=1809&cId=48654&mId=494524
Earth Sciences Centre,?id=1809&cId=48654&mId=494499
Earth Sciences Centre (North Block),?id=1809&cId=48654&mId=507957
Earth Sciences Centre (South Block),?id=1809&cId=48654&mId=507945
Earth Sciences Centre (Willocks Block),?id=1809&cId=48654&mId=507958
Edward Johnson Building,?id=1809&cId=48654&mId=494549
Electrometallurgy Lab,?id=1809&cId=48654&mId=494465
Engineering Annex,?id=1809&cId=48654&mId=494468
Enrolment Services,?id=1809&cId=48654&mId=494562
Exam Centre,?id=1809&cId=48654&mId=494453
Factor-Inwentash Faculty of Social Work,?id=1809&cId=48654&mId=494564
Faculty Club,?id=1809&cId=48654&mId=494501
Faculty of Law,?id=1809&cId=48654&mId=494544
Falconer Hall,?id=1809&cId=48654&mId=494552
Fasken Building,?id=1809&cId=48654&mId=494527
Fields Inst for Research in Math Science,?id=1809&cId=48654&mId=494456
FitzGerald Building (Under Renovation),?id=1809&cId=48654&mId=494479
Gage Building,?id=1809&cId=48654&mId=494451
Galbraith Building,?id=1809&cId=48654&mId=494473
Gerstein Science Information Centre in the Sigmund Samuel Library Bldg,?id=1809&cId=48654&mId=494508
Goldring Centre for High Performance Sport,?id=1809&cId=48654&mId=494556
Graduate House,?id=1809&cId=48654&mId=494518
Graduate Students' Union,?id=1809&cId=48654&mId=494496
Hart House,?id=1809&cId=48654&mId=494521
Haultain Building,?id=1809&cId=48654&mId=494475
Health Sciences Building,?id=1809&cId=48654&mId=494459
Innis College,?id=1809&cId=48654&mId=494541
Innis College Student Residence,?id=1809&cId=48654&mId=494543
J. Robert S. Prichard Alumni House,?id=1809&cId=48654&mId=494507
Jackman Humanities Building,?id=1809&cId=48654&mId=494560
John W. Graham Library,?id=1809&cId=48654&mId=494537
Koffler House,?id=1809&cId=48654&mId=494488
Koffler Student Services Centre,?id=1809&cId=48654&mId=494461
Lash Miller Chemical Laboratories,?id=1809&cId=48654&mId=494502
Lassonde Mining Building,?id=1809&cId=48654&mId=494466
Leslie L. Dan Pharmacy Building,?id=1809&cId=48654&mId=494476
Louis B. Stewart Observatory (UTSU),?id=1809&cId=48654&mId=494516
Luella Massey Studio Theatre,?id=1809&cId=48654&mId=494530
MaRS 2,?id=1809&cId=48654&mId=494467
Macdonald-Mowat House,?id=1809&cId=48654&mId=494504
Max Gluskin House,?id=1809&cId=48654&mId=494546
McLennan Physical Laboratories,?id=1809&cId=48654&mId=494490
McMurrich Building,?id=1809&cId=48654&mId=494500
Mechanical Engineering Building,?id=1809&cId=48654&mId=494474
Medical Sciences Building,?id=1809&cId=48654&mId=494491
Morrison Hall,?id=1809&cId=48654&mId=494514
Munk School of Global Affairs & Public Policy at Trinity,?id=1809&cId=48654&mId=494539
Munk School of Global Affairs & Public Policy at the Observatory,?id=1809&cId=48654&mId=494559
Myhal Centre for Engineering Innovation and Entrepreneurship,?id=1809&cId=48654&mId=494495
New College III,?id=1809&cId=48654&mId=494498
Ontario Institute for Studies in Education (OISE),?id=1809&cId=48654&mId=494563
Ramsay Wright Laboratories,?id=1809&cId=48654&mId=494515
Rehabilitation Sciences Building,?id=1809&cId=48654&mId=494447
Robarts Library (John P. Robarts Library Building),?id=1809&cId=48654&mId=494531
Rosebrugh Building,?id=1809&cId=48654&mId=494478
Rotman School of Management,?id=1809&cId=48654&mId=494538
Sandford Fleming Building,?id=1809&cId=48654&mId=494481
School of Continuing Studies,?id=1809&cId=48654&mId=494553
School of Graduate Studies,?id=1809&cId=48654&mId=494506
Schwartz Reisman Innovation Centre,?id=1809&cId=48654&mId=514444
Sidney Smith Hall,?id=1809&cId=48654&mId=494510
Simcoe Hall,?id=1809&cId=48654&mId=494492
Sir Daniel Wilson Residence,?id=1809&cId=48654&mId=494511
Soldiers' Tower,?id=1809&cId=48654&mId=494520
Stewart Building,?id=1809&cId=48654&mId=494462
Student Commons (Under Renovation),?id=1809&cId=48654&mId=494455
Sussex Court,?id=1809&cId=48654&mId=494534
TWH - Krembil Discovery Tower,?id=1809&cId=48654&mId=494445
Terrence Donnelly Ctr for Cellular & Biomolecular Res,?id=1809&cId=48654&mId=494482
Thomas Fisher Rare Book Library Building,?id=1809&cId=48654&mId=494526
University College,?id=1809&cId=48654&mId=494517
